ep_rewmean,current_lr,time_elapsed,n_updates,fps,mean 100 episode reward,episodes,total timesteps,eplenmean,ent_coef_loss,qf2_loss,qf1_loss,ent_coef,entropy,value_loss,policy_loss
-607.6758075714287,0.0003,198,8025,40,-607.7,85,8125,96.72619047619048,-1.8450401,1498.7815,1497.9434,0.116538286,2.0477417,3.7920132,80.48749
-608.0506473294118,0.0003,201,8128,40,-608.1,86,8228,96.8,-0.8402701,2122.3535,2131.3408,0.11447087,1.7945275,6.3237753,81.775444
-608.102391011628,0.0003,202,8176,40,-608.1,87,8276,96.23255813953489,-2.6484618,20.079977,20.300344,0.11327681,2.0042243,3.491763,81.324684
-608.6065717011495,0.0003,204,8277,40,-608.6,88,8377,96.28735632183908,-2.1788337,4.482547,5.059701,0.1109409,1.8519578,0.67341214,77.604004
-604.2087005681819,0.0003,212,8577,40,-604.2,89,8677,98.60227272727273,-2.9814334,1415.8851,1417.1871,0.10409601,2.1190653,1.9437642,78.75132
-605.213221011236,0.0003,217,8771,40,-605.2,90,8871,99.67415730337079,-2.6132834,12.1305485,9.471061,0.101745255,2.0163836,5.355377,86.63635
-605.8137784333334,0.0003,221,8935,40,-605.8,91,9035,100.38888888888889,-1.2577436,3.0791144,3.766853,0.09876841,1.8320309,1.9944775,76.9869
-605.8380611208792,0.0003,222,8960,40,-605.8,92,9060,99.56043956043956,-1.293194,1409.7767,1410.5671,0.098379135,1.9023044,11.674431,83.543144
-606.0230845978261,0.0003,224,9018,40,-606.0,93,9118,99.1086956521739,-0.50496125,1415.2474,1414.9525,0.097497314,1.9316916,7.1541915,85.597336
-601.6241819784947,0.0003,232,9318,40,-601.6,94,9418,101.26881720430107,-0.3152566,1988.8607,2007.1875,0.09278801,1.6929445,7.1830664,88.92033
-602.3013221170213,0.0003,239,9589,40,-602.3,95,9689,103.07446808510639,-0.42909524,12.178516,13.146936,0.09031742,1.9139168,5.0102262,86.48015
-602.3516858631579,0.0003,240,9629,40,-602.4,96,9729,102.41052631578947,-1.100344,1979.9181,2002.6101,0.09001038,1.851785,2.4090784,87.96846
-602.5755244270832,0.0003,242,9722,40,-602.6,97,9822,102.3125,0.8566102,21.557154,21.708786,0.08938006,1.7580053,4.062828,87.226074
-602.9232837319587,0.0003,245,9826,40,-602.9,98,9926,102.3298969072165,-0.9409114,1919.3878,1916.3947,0.0884934,1.9726638,3.8589664,84.190125
-599.8844569489795,0.0003,253,10126,40,-599.9,99,10226,104.34693877551021,0.6207416,4.610293,5.5698495,0.08697464,1.8392417,6.2177305,92.391266
-594.9666427272726,0.0003,261,10426,40,-595.0,100,10526,106.32323232323232,-0.52462137,1313.8696,1314.822,0.087731875,1.6269644,2.177318,84.1895
