EpIntrinsicRew/step,EpLenMean,EpRew/step,EpThisIter,EpTotalRewMean,EpisodesSoFar,MaxIntrinsicRew,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain,,,,,,,,,,,,
0,161.825,-5.11890536,6,-383.3956347,408,0,1233.310701,56320,0,1.508326,0.000792205,0.000839284,0.011353195,0.011353195,,,,,,,,,,,,
0,158.05,-5.074627186,5,-396.9406636,413,0,1257.655597,57344,0,1.5146377,-0.00089407,0.000876372,0.012081794,0.012081794,,,,,,,,,,,,
0,163.75,-5.474700563,6,-384.0111062,419,0,1280.181427,58368,0,1.4890354,0.001096666,0.000875444,0.011140309,0.011140309,,,,,,,,,,,,
0,155.025,-5.429298108,7,-395.3022223,426,0,1303.392868,59392,0,1.5164459,-0.000181675,0.000754275,0.01183253,0.01183253,,,,,,,,,,,,
0,165.5,-5.410778497,6,-384.5874201,432,0,1325.70224,60416,0,1.5314176,-0.000245094,0.00076648,0.010461757,0.010461757,,,,,,,,,,,,
0,167,-5.261672385,6,-415.7828005,438,0,1348.272646,61440,0,1.5151757,-0.000317574,0.000866898,0.011131259,0.011131259,,,,,,,,,,,,
0,154.1,-6.398013279,9,-440.8887539,447,0,1370.964199,62464,0,1.5079436,-0.000427246,0.000774475,0.012345113,0.012345113,,,,,,,,,,,,
0,138.6,-7.461621042,8,-478.9709951,455,0,1393.383203,63488,0,1.4022415,0.005726874,0.000863717,0.012237482,0.012237482,,,,,,,,,,,,
0,151.45,-6.500861603,5,-439.6835325,460,0,1415.787775,64512,0,1.5134132,-2.85E-05,0.000712835,0.011159769,0.011159769,,,,,,,,,,,,
0,153.6,-6.456698031,6,-440.197302,466,0,1438.403885,65536,0,1.5270147,7.33E-06,0.000730604,0.010606231,0.010606231,,,,,,,,,,,,
0,159.225,-5.748288422,5,-412.2864835,471,0,1460.341132,66560,0,1.4796896,-4.26E-05,0.000802961,0.007989197,0.007989197,,,,,,,,,,,,
0,165.475,-5.539005612,4,-400.3267275,475,0,1482.851947,67584,0,1.53104,-0.000189424,0.000823635,0.009738419,0.009738419,,,,,,,,,,,,
0,170.475,-5.120019574,5,-401.8577505,480,0,1505.244566,68608,0,1.499315,-0.000209093,0.000859708,0.011214884,0.011214884,,,,,,,,,,,,
0,183.25,-4.393121928,5,-377.2922854,485,0,1527.636088,69632,0,1.5153707,-0.000755191,0.00080223,0.014203785,0.014203785,,,,,,,,,,,,
0,199.8,-3.420273627,5,-338.0440439,490,0,1550.334385,70656,0,1.5154395,-2.07E-05,0.000840952,0.010653386,0.010653386,,,,,,,,,,,,
0,204.8,-3.517372207,5,-326.3381021,495,0,1572.784756,71680,0,1.4802127,0.000202358,0.000782277,0.012286231,0.012286231,,,,,,,,,,,,
0,188.5,-4.538681579,8,-364.0208685,503,0,1595.372019,72704,0,1.503798,-5.29E-05,0.000750002,0.014077351,0.014077351,,,,,,,,,,,,
0,197.3,-4.109280478,4,-337.5125415,507,0,1618.144079,73728,0,1.5270602,-0.003798246,0.000764219,0.009298883,0.009298883,,,,,,,,,,,,
0,197.3,-4.103773355,5,-323.1459929,512,0,1640.728195,74752,0,1.468924,-3.58E-07,0.000841392,0.012299872,0.012299872,,,,,,,,,,,,
0,194.075,-4.486972279,5,-291.3946505,517,0,1662.789176,75776,0,1.4754058,7.91E-05,0.000825765,0.012275219,0.012275219,,,,,,,,,,,,
0,196.5,-4.216140546,5,-307.3854123,522,0,1685.669519,76800,0,1.471597,-0.000373363,0.000831542,0.011297994,0.011297994,,,,,,,,,,,,
0,179.2,-5.432267986,8,-345.7367034,530,0,1707.08026,77824,0,1.4722419,0.000211954,0.000800734,0.011895999,0.011895999,,,,,,,,,,,,
0,170.625,-5.193991105,7,-372.7117687,537,0,1729.297721,78848,0,1.4885442,-0.000241876,0.00080219,0.011915761,0.011915761,,,,,,,,,,,,
0,171.7,-4.828811072,7,-403.58969,544,0,1752.294596,79872,0,1.4677777,-0.000153542,0.00086186,0.012664853,0.012664853,,,,,,,,,,,,
0,154.825,-5.385469627,7,-456.5244378,551,0,1774.914586,80896,0,1.4555223,-3.84E-05,0.000807309,0.011470379,0.011470379,,,,,,,,,,,,
0,153.6,-5.448799257,6,-470.9795193,557,0,1797.712177,81920,0,1.4856368,4.02E-05,0.000788495,0.012506168,0.012506168,,,,,,,,,,,,
