n_updates,mean 100 episode reward,episodes,fps,total timesteps,time_elapsed,mean 100 episode reward per step,current_lr,entropy,value_loss,qf1_loss,policy_loss,qf2_loss,eplenmean,ent_coef,ep_rewmean,ent_coef_loss
12100,-684.7,171,40,12200,303,-10.711120531243143,0.0003,2.4392438,0.21247225,2603.9307,141.62595,2627.4292,86.26,0.027103884,-684.7068325299998,-10.613566
12200,-682.4,172,40,12300,306,-10.751844982029533,0.0003,2.3649132,1.5834061,6.882879,142.70456,6.504415,85.03,0.026364913,-682.3999702699999,-8.639288
12300,-684.3,173,40,12400,308,-10.677538562603004,0.0003,2.509625,0.2092255,2949.257,142.6252,2960.9294,85.8,0.025565352,-684.32455275,-10.402654
12400,-685.6,174,40,12500,310,-10.547927463946538,0.0003,2.5244505,0.061230578,1646.3679,143.56897,1646.419,86.94,0.024762921,-685.60613349,-12.374138
12500,-684.9,175,40,12600,313,-10.646475402588408,0.0003,2.4949567,0.00030334413,6.896676,144.25104,6.7715755,85.18,0.024026334,-684.9218518099999,-12.066574
12600,-684.9,175,40,12700,315,-10.646475402588408,0.0003,1.9656641,0.07385921,1619.7413,146.4407,1619.8538,85.18,0.023281425,-684.9218518099999,-9.836983
12700,-684.9,175,40,12800,318,-10.646475402588408,0.0003,2.4772,2.3811831,7.557066,148.75046,6.832981,85.18,0.022586027,-684.9218518099999,-9.164373
12800,-679.7,176,40,12900,320,-10.58586349794325,0.0003,2.6473866,0.24752873,1607.9801,148.09116,1608.0795,87.2,0.021900222,-679.6982549700001,-9.541795
12900,-679.0,177,40,13000,323,-10.574864234720446,0.0003,2.5877438,0.2509193,2867.6702,151.47888,2882.7368,87.22,0.021304531,-679.0357058999999,-5.3407636
13000,-678.5,178,40,13100,325,-10.49916361777754,0.0003,2.5592628,4.4845495,2863.643,151.33128,2875.3247,87.66,0.020798538,-678.5002728,-7.643168
13100,-682.7,179,40,13200,328,-10.478124102148579,0.0003,2.6435628,0.0068079806,8.904633,150.94879,8.76733,88.38,0.020369122,-682.6937006599999,-10.958051
13200,-682.7,180,40,13300,330,-10.48740922836235,0.0003,2.4617586,0.015080551,3139.8127,152.22012,3140.4075,88.33,0.019856814,-682.6928643599999,-7.1295485
13300,-688.4,185,40,13400,333,-11.252759324050988,0.0003,1.8648115,0.10951115,6.942477,153.44589,6.8306484,84.94,0.020359678,-688.4174277100001,6.254167
13400,-692.6,187,40,13500,335,-11.708628818719236,0.0003,2.3310804,0.19506511,1239.3563,155.1622,1251.7385,81.56,0.020161485,-692.6245613800003,-4.402026
13500,-693.2,190,40,13600,338,-12.1286205838508,0.0003,2.1477902,0.3045413,1552.127,155.93156,1552.6892,79.96,0.019840166,-693.2016205100002,-1.0728403
13600,-693.8,193,40,13700,340,-12.171042149258305,0.0003,2.631565,0.19175519,1542.0145,158.1216,1542.1152,79.74,0.01955575,-693.8317152900001,-10.360596
13700,-694.1,194,40,13800,343,-12.203567816780765,0.0003,2.538971,0.24318069,8.100077,159.25943,6.9037604,79.6,0.018927285,-694.1471176600003,-10.948905
13800,-693.4,196,40,13900,345,-12.227494793415298,0.0003,2.555007,0.07953284,1530.5178,159.23694,1532.106,79.41,0.01830848,-693.4483868300002,-11.519228
13900,-694.9,198,40,14000,348,-12.434607513919724,0.0003,2.2648375,0.011507487,1521.6335,159.63387,1521.8248,77.64,0.017774979,-694.9145676,-9.841303
14000,-695.6,200,40,14100,350,-12.403133472919597,0.0003,2.5942059,0.0070550335,1512.3112,161.11247,1512.3368,77.82,0.017250262,-695.59333434,-12.685886
14100,-695.8,202,40,14200,352,-12.423476253611687,0.0003,2.3196402,0.07885167,1504.1917,162.2304,1504.1598,77.81,0.016717128,-695.7883415,-10.428939
14200,-693.8,205,40,14300,355,-12.61397208295163,0.0003,2.5121095,0.0699538,4176.7515,164.2496,4189.6133,76.42,0.016245646,-693.8390218700001,-10.91284
14300,-693.8,205,40,14400,357,-12.61397208295163,0.0003,2.5915926,0.011882123,7.9159255,164.78139,7.863747,76.42,0.01573487,-693.8390218700001,-12.023668
14400,-694.7,206,40,14500,360,-12.489975898121223,0.0003,2.5500958,0.07847061,7.4412923,167.02214,9.590184,77.3,0.01522024,-694.7031734000001,-11.235048
14500,-694.9,208,40,14600,362,-12.627895753130005,0.0003,2.52441,0.0113821905,1473.1948,166.78743,1472.9974,76.8,0.0147323,-694.88684868,-13.298072
14600,-691.6,210,40,14700,365,-12.67579571364423,0.0003,2.540917,0.006428194,7.517248,167.85487,7.457326,76.08,0.0143110175,-691.6066878800001,-10.349098
14700,-692.2,211,40,14800,367,-12.596449650254556,0.0003,2.5330691,0.031059934,2909.7666,169.50021,2909.8403,76.87,0.013894578,-692.2262695800001,-10.724534
14800,-693.6,212,40,14900,370,-12.72246811543417,0.0003,2.2338881,0.07985392,2898.5542,169.80965,2897.6074,76.21,0.013475046,-693.6303853200001,-11.299677
14900,-692.5,214,40,15000,372,-12.789365276104435,0.0003,2.5521626,0.2084834,1443.721,172.5841,1443.8373,75.28,0.013080762,-692.52671692,-11.221543
15000,-692.7,216,40,15100,374,-12.8746104908438,0.0003,2.5861056,0.02617642,7.5655584,173.15195,7.021204,74.6,0.012669346,-692.7342476800001,-12.143374
15100,-692.6,217,40,15200,377,-12.799862435160808,0.0003,2.4383914,0.041492045,8.603801,174.4186,8.678808,75.19,0.012308042,-692.6276022800001,-10.863794
15200,-691.0,219,40,15300,379,-13.039735954622575,0.0003,2.2358193,0.064761505,7.1606474,175.38007,6.707088,74.15,0.01205451,-691.0247118799999,-1.4213904
15300,-687.0,222,40,15400,382,-13.453263596899024,0.0003,2.2505322,2.282465,7.6605325,175.39873,7.583929,72.39,0.011950936,-687.04393455,1.2287302
15400,-685.5,225,40,15500,384,-13.886488351860804,0.0003,2.6207738,0.01971679,2802.7617,176.78195,2800.5127,70.19,0.011801361,-685.50072915,-11.9805975
15500,-685.0,226,40,15600,387,-13.906554664268576,0.0003,2.5695896,0.19906333,4167.0215,179.7793,4163.256,69.82,0.011536732,-685.0350782700001,-9.000867
15600,-684.9,228,40,15700,389,-14.077813931726858,0.0003,2.5437436,0.3752944,2765.4302,180.42697,2756.7957,68.16,0.011240176,-684.8844204200001,-11.314165
15700,-684.2,230,40,15800,392,-14.034782585226967,0.0003,2.5123549,0.18128788,1138.731,183.6224,1150.2107,67.57,0.010900078,-684.24224959,-10.365585
15800,-682.1,232,40,15900,394,-14.028860811329103,0.0003,2.5209022,0.2063449,6.7875843,182.09427,4.1957664,67.49,0.010561092,-682.1478630600002,-8.412519
15900,-682.5,233,40,16000,396,-14.010460116300441,0.0003,2.4842615,0.12670791,6.487667,183.90184,1.9795828,67.61,0.010314344,-682.4910478400001,-11.789626
16000,-681.2,234,40,16100,399,-13.937928629797863,0.0003,1.9369872,1.0294545,1367.0752,185.27332,1376.4861,67.85,0.010018174,-681.20730317,-8.964598
16100,-681.1,236,40,16200,401,-14.045210034171527,0.0003,2.3180428,0.4402197,7.540516,185.57896,4.0341706,67.55,0.00983263,-681.07217082,-4.7082567
