mean 100 episode reward,episodes,% time spent exploring,steps,mean 100 episode reward per step
7.3,125,70,14800,0.05146326351140058
7.4,126,70,14900,0.052152007150056766
7.4,128,70,15000,0.054041519067124774
7.4,128,70,15100,0.054041519067124774
7.5,130,70,15200,0.05404154967840043
7.5,131,70,15300,0.05442917062752465
7.5,133,69,15400,0.05475928813599291
7.5,133,69,15500,0.05475928813599291
7.7,134,69,15600,0.05547310566077535
7.7,136,69,15700,0.05636330632178397
7.7,138,69,15800,0.056794440004475
8.0,139,68,15900,0.05849477189957682
8.0,139,68,16000,0.05849477189957682
8.3,140,68,16100,0.05990092420601222
8.3,140,68,16200,0.05990092420601222
8.4,141,68,16300,0.06059852613752348
8.3,143,67,16400,0.061825456235617644
8.3,143,67,16500,0.061825456235617644
8.4,144,67,16600,0.06234830809136385
8.4,144,67,16700,0.06234830809136385
8.8,145,67,16800,0.0648520469095809
8.8,145,66,16900,0.0648520469095809
8.9,146,66,17000,0.06573489705418557
8.9,147,66,17100,0.06630126050294342
9.0,148,66,17200,0.06704830672114767
9.0,148,66,17300,0.06704830672114767
9.2,149,65,17400,0.06763472252385819
9.2,149,65,17500,0.06763472252385819
9.4,150,65,17600,0.06867620535398858
9.4,150,65,17700,0.06867620535398858
9.6,151,65,17800,0.06980775449958102
9.7,152,64,17900,0.07161112230073677
9.7,152,64,18000,0.07161112230073677
10.1,153,64,18100,0.07358604266726354
10.1,153,64,18200,0.07358604266726354
10.3,155,64,18300,0.07442793803200953
10.3,156,63,18400,0.07516202906535552
10.3,156,63,18500,0.07516202906535552
10.6,157,63,18600,0.07631490258330637
10.6,157,63,18700,0.07631490258330637
10.9,158,63,18800,0.07572019241401097
10.9,158,62,18900,0.07572019241401097
11.0,160,62,19000,0.07780451894869339
11.1,161,62,19100,0.07897609152043604
11.1,161,62,19200,0.07897609152043604
11.4,162,62,19300,0.08044705808492225
11.2,164,61,19400,0.08077080247436629
11.3,165,61,19500,0.082097817902543
11.4,166,61,19600,0.08361459005125266
11.6,167,61,19700,0.0846640846410326
11.6,167,61,19800,0.0846640846410326
11.9,168,60,19900,0.08568338102484901
12.1,169,60,20000,0.08793668380401919
12.1,171,60,20100,0.08973315629346834
12.1,171,60,20200,0.08973315629346834
12.3,173,60,20300,0.09116256505162568
12.3,175,60,20400,0.09279212705239122
12.3,175,59,20500,0.09279212705239122
12.6,176,59,20600,0.09437616343471493
12.6,176,59,20700,0.09437616343471493
12.8,177,59,20800,0.09525460784777649
12.8,178,59,20900,0.09472919546209241
12.8,178,58,21000,0.09472919546209241
12.8,180,58,21100,0.09612194563169223
12.8,180,58,21200,0.09612194563169223
13.2,181,58,21300,0.09766643680663636
13.0,183,58,21400,0.09758789426597465
13.1,184,57,21500,0.0983458949440741
13.1,184,57,21600,0.0983458949440741
13.2,186,57,21700,0.09905728686776488
13.0,188,57,21800,0.0991261143146448
13.0,188,57,21900,0.0991261143146448
13.1,189,56,22000,0.09958225620732654
13.1,189,56,22100,0.09958225620732654
13.6,190,56,22200,0.10175075842058968
13.6,190,56,22300,0.10175075842058968
13.9,191,56,22400,0.10274658308438891
13.9,191,55,22500,0.10274658308438891
14.1,192,55,22600,0.10348604434908562
14.1,192,55,22700,0.10348604434908562
14.3,193,55,22800,0.1040250362252023
14.2,194,55,22900,0.10448860786200803
14.2,194,54,23000,0.10448860786200803
14.6,195,54,23100,0.1062170824600885
14.6,195,54,23200,0.1062170824600885
14.8,196,54,23300,0.10733846461421742
14.6,197,54,23400,0.1071531537624937
14.6,197,53,23500,0.1071531537624937
15.0,198,53,23600,0.10861671517742817
15.0,199,53,23700,0.1084602841042547
15.0,199,53,23800,0.1084602841042547
15.3,200,53,23900,0.1095892278355001
15.2,202,52,24000,0.10954112980452291
15.3,203,52,24100,0.11015401148114559
15.3,203,52,24200,0.11015401148114559
15.3,204,52,24300,0.11057862253834282
15.5,206,52,24400,0.11239906351475337
15.5,206,51,24500,0.11239906351475337
15.8,207,51,24600,0.11400788997090272
15.8,207,51,24700,0.11400788997090272
16.1,208,51,24800,0.11489684205690809
16.1,208,51,24900,0.11489684205690809
16.2,209,51,25000,0.11515512652760625
16.2,209,50,25100,0.11515512652760625
16.6,211,50,25200,0.11759442264989019
16.6,211,50,25300,0.11759442264989019
16.9,212,50,25400,0.11889615002585188
16.9,213,50,25500,0.11986433378236436
16.9,213,49,25600,0.11986433378236436
17.2,214,49,25700,0.12150534091856736
17.2,214,49,25800,0.12150534091856736
17.4,215,49,25900,0.12265923883305165
17.7,216,49,26000,0.12444758308669975
17.7,216,48,26100,0.12444758308669975
18.0,217,48,26200,0.12597049731905285
18.0,217,48,26300,0.12597049731905285
18.4,218,48,26400,0.12699653789688642
18.4,218,48,26500,0.12699653789688642
18.6,219,47,26600,0.12820731563136878
18.6,219,47,26700,0.12820731563136878
18.7,220,47,26800,0.12890732360569077
18.7,220,47,26900,0.12890732360569077
19.0,221,47,27000,0.12997747984882577
19.0,222,46,27100,0.13077160449390562
18.6,224,46,27200,0.12967501781840546
18.6,224,46,27300,0.12967501781840546
18.6,226,46,27400,0.1279947661423058
18.6,226,46,27500,0.1279947661423058
19.0,227,45,27600,0.12906130423963258
19.0,227,45,27700,0.12906130423963258
19.4,228,45,27800,0.12998733496262027
19.3,229,45,27900,0.13108022376620035
19.3,229,45,28000,0.13108022376620035
19.7,230,44,28100,0.13383796343516535
19.7,230,44,28200,0.13383796343516535
20.1,231,44,28300,0.13533029079619704
20.3,233,44,28400,0.13751644589353562
20.3,233,44,28500,0.13751644589353562
20.5,234,43,28600,0.13841043305455022
20.6,236,43,28700,0.14026701882127007
20.8,237,43,28800,0.14249296144382956
20.8,237,43,28900,0.14249296144382956
21.2,238,43,29000,0.1439015745267021
21.2,238,42,29100,0.1439015745267021
21.5,239,42,29200,0.14474831209681743
21.5,239,42,29300,0.14474831209681743
21.5,240,42,29400,0.14503204224835398
21.5,240,42,29500,0.14503204224835398
21.6,241,41,29600,0.1456982245332625
21.7,242,41,29700,0.146243104301654
21.7,242,41,29800,0.146243104301654
22.2,243,41,29900,0.14737138768950409
22.2,243,41,30000,0.14737138768950409
21.9,245,41,30100,0.14767617328425683
21.9,245,40,30200,0.14767617328425683
22.1,246,40,30300,0.14840091177547088
22.0,247,40,30400,0.14739496831390028
22.0,249,40,30500,0.14768648100944534
22.0,249,40,30600,0.14768648100944534
21.8,251,39,30700,0.14752806506906296
21.9,252,39,30800,0.14869553843342886
21.6,254,39,30900,0.14975101034201482
21.6,254,39,31000,0.14975101034201482
22.0,256,39,31100,0.15102715806719993
22.0,256,38,31200,0.15102715806719993
22.0,257,38,31300,0.1516493982311597
21.7,259,38,31400,0.15243292023251598
21.7,259,38,31500,0.15243292023251598
21.8,260,38,31600,0.1526034553614442
21.8,260,37,31700,0.1526034553614442
22.3,261,37,31800,0.15413973643442222
22.3,261,37,31900,0.15413973643442222
22.4,262,37,32000,0.1546904188705386
22.4,262,37,32100,0.1546904188705386
22.8,263,36,32200,0.1560187574424086
23.0,264,36,32300,0.15749157724726406
23.0,264,36,32400,0.15749157724726406
23.2,266,36,32500,0.15775765075444537
23.3,267,36,32600,0.15870487225601446
23.3,267,35,32700,0.15870487225601446
23.4,268,35,32800,0.15945823395999428
23.4,268,35,32900,0.15945823395999428
23.6,269,35,33000,0.15972907761425945
23.6,269,35,33100,0.15972907761425945
23.9,270,34,33200,0.16034525762219867
23.9,270,34,33300,0.16034525762219867
24.4,271,34,33400,0.16174779772312223
24.4,271,34,33500,0.16174779772312223
24.6,272,34,33600,0.16282033155523387
24.6,272,33,33700,0.16282033155523387
25.1,273,33,33800,0.16469719844556455
25.2,274,33,33900,0.16591409454000036
25.4,275,33,34000,0.16619225519755354
25.4,275,33,34100,0.16619225519755354
25.5,276,32,34200,0.16699832939247394
25.6,277,32,34300,0.16805858976445848
25.6,277,32,34400,0.16805858976445848
26.2,278,32,34500,0.17063322789808566
26.2,278,32,34600,0.17063322789808566
26.4,279,31,34700,0.17187971586500367
26.6,280,31,34800,0.1727825014853396
26.6,280,31,34900,0.1727825014853396
26.8,281,31,35000,0.17382551537506058
26.8,281,31,35100,0.17382551537506058
27.2,282,31,35200,0.17552048945990786
27.2,282,30,35300,0.17552048945990786
27.7,283,30,35400,0.17755828415394476
27.9,284,30,35500,0.17872832861406127
27.9,284,30,35600,0.17872832861406127
28.2,285,30,35700,0.1805162879083954
28.5,286,29,35800,0.18243084166139983
28.5,286,29,35900,0.18243084166139983
29.0,287,29,36000,0.18464084276060932
29.0,287,29,36100,0.18464084276060932
29.4,288,29,36200,0.18621167422899113
29.4,288,28,36300,0.18621167422899113
29.7,289,28,36400,0.18737743529583195
29.7,289,28,36500,0.18737743529583195
29.8,290,28,36600,0.1879843059261118
29.8,290,28,36700,0.1879843059261118
30.0,291,27,36800,0.18888473462751856
30.0,291,27,36900,0.18888473462751856
30.1,292,27,37000,0.18968800153668686
30.1,292,27,37100,0.18968800153668686
30.4,293,27,37200,0.1909471703393453
30.4,293,26,37300,0.1909471703393453
30.8,294,26,37400,0.1922529239986472
30.8,294,26,37500,0.1922529239986472
31.0,295,26,37600,0.19319681231953595
30.8,296,26,37700,0.19376890117629275
30.8,296,25,37800,0.19376890117629275
31.3,297,25,37900,0.1956062973104109
31.3,297,25,38000,0.1956062973104109
31.5,298,25,38100,0.19626453310884756
31.5,298,25,38200,0.19626453310884756
31.7,299,24,38300,0.19754852149377153
31.7,299,24,38400,0.19754852149377153
31.8,300,24,38500,0.1984594446673726
31.8,300,24,38600,0.1984594446673726
32.5,302,24,38700,0.20157053499565653
32.5,302,23,38800,0.20157053499565653
32.9,303,23,38900,0.2033755012755638
33.1,304,23,39000,0.20506618649060449
