% time spent exploring,episodes,mean 100 episode reward,mean 100 episode reward per step,steps
84,157,-619.6,-17.17077593142091,7800
84,159,-618.9,-17.30710986427988,7900
84,161,-619.1,-17.189859594874356,8000
84,162,-619.3,-17.161404957450227,8100
83,164,-618.7,-17.18358340773041,8200
83,166,-618.4,-17.271578847912266,8300
83,167,-618.8,-17.045743504316142,8400
83,169,-618.9,-17.151615541610347,8500
83,173,-618.6,-17.235105027670368,8600
82,174,-619.0,-17.15273713440049,8700
82,177,-618.2,-17.40635503055279,8800
82,180,-618.0,-17.657575774449526,8900
82,182,-618.1,-17.491211853037957,9000
82,185,-618.3,-17.54368394517596,9100
81,189,-617.8,-17.94707739269168,9200
81,192,-617.6,-18.283177463085217,9300
81,194,-617.8,-18.128403240814695,9400
81,195,-618.2,-17.878317944665078,9500
81,198,-617.8,-17.931650942863023,9600
80,198,-617.8,-17.931650942863023,9700
80,198,-617.8,-17.931650942863023,9800
80,202,-618.2,-18.1074292171424,9900
80,204,-618.3,-17.95466145395373,10000
80,208,-618.1,-18.159850561093727,10100
80,210,-617.9,-18.330483900155535,10200
79,212,-618.2,-18.25518054317159,10300
79,214,-618.1,-18.347687365588673,10400
79,216,-618.1,-18.24311084869033,10500
79,216,-618.1,-18.24311084869033,10600
79,219,-618.3,-18.399359077521453,10700
78,221,-618.5,-18.199351349450026,10800
78,224,-618.4,-18.477572329949012,10900
78,226,-618.7,-18.197056555474045,11000
78,230,-618.4,-18.3708833389038,11100
78,231,-618.4,-18.375694691876742,11200
77,234,-618.5,-18.418821141683257,11300
77,236,-618.6,-18.521651285734603,11400
77,239,-618.4,-18.607207960782002,11500
77,241,-618.2,-18.5725488281812,11600
77,241,-618.2,-18.5725488281812,11700
76,241,-618.2,-18.5725488281812,11800
76,243,-613.5,-18.28027553391208,11900
76,245,-613.6,-18.05338659455082,12000
76,249,-612.7,-18.445786338332535,12100
76,251,-612.9,-18.172216341486433,12200
75,253,-613.0,-18.06643451703065,12300
75,257,-612.6,-18.33053975418216,12400
75,258,-613.0,-18.178164871140382,12500
75,261,-612.5,-18.468156380154063,12600
75,264,-611.9,-18.690753082012286,12700
74,267,-611.4,-18.899677029866695,12800
74,270,-611.2,-18.92558977524742,12900
74,271,-611.3,-18.823533779964713,13000
74,273,-611.6,-18.60243258137596,13100
74,275,-611.7,-18.506518939033523,13200
73,276,-611.7,-18.416818448728243,13300
73,278,-611.6,-18.458313163519126,13400
73,279,-612.1,-18.158850744469817,13500
73,280,-612.8,-18.076637629978173,13600
73,282,-612.9,-18.241114547389362,13700
72,286,-612.9,-18.07464759879576,13800
72,289,-612.8,-18.050235328146442,13900
72,291,-613.1,-17.7828552872636,14000
72,293,-613.2,-17.722902127071528,14100
72,296,-612.9,-17.879930413239286,14200
71,299,-611.9,-18.476329491790626,14300
71,303,-612.0,-18.500714978124094,14400
71,304,-612.1,-18.467984892045433,14500
71,306,-612.3,-18.2153691366981,14600
71,306,-612.3,-18.2153691366981,14700
70,306,-612.3,-18.2153691366981,14800
70,307,-613.3,-18.029258220234823,14900
70,309,-613.8,-17.805296288865396,15000
70,310,-614.1,-17.768491571824804,15100
