mean 100 episode reward per step,time_elapsed,total timesteps,eplenmean,mean 100 episode reward,ep_rewmean,current_lr,fps,episodes,n_updates,ent_coef,ent_coef_loss,policy_loss,entropy,qf2_loss,value_loss,qf1_loss
-15.10510173520132,85,4400,61.12676056338028,-701.2,-701.2159595352114,0.0003,51,72,4300,0.2732656,-4.358561,49.129555,2.6069841,7127.841,0.059106387,7126.024
-14.955340264716328,87,4500,61.52054794520548,-701.5,-701.4550164520547,0.0003,51,74,4400,0.26516363,-4.325535,50.656944,2.6080005,2038.6158,0.07573814,2025.1057
-14.944983332529082,89,4600,61.29333333333334,-699.3,-699.3007827999999,0.0003,51,76,4500,0.25730148,-4.4683447,53.32766,2.5173821,2029.4264,0.17450695,2015.671
-14.987899302049318,91,4700,60.973684210526315,-699.0,-698.963194736842,0.0003,51,77,4600,0.24965826,-4.4297323,55.861618,2.5405257,7.2383723,0.12376051,7.132428
-14.893161909500327,93,4800,61.493506493506494,-700.0,-699.9767263246752,0.0003,51,78,4700,0.24230208,-4.7065864,55.416054,2.5533373,2331.5488,0.055435143,2331.1848
-14.767138203195445,95,4900,62.32051282051282,-699.2,-699.1818633589743,0.0003,51,79,4800,0.23512964,-4.865242,56.584053,2.5641835,4634.707,0.0140678305,4633.711
-14.669007511604189,97,5000,62.5,-697.3,-697.2573622375,0.0003,51,81,4900,0.22822496,-4.653322,58.29988,2.5324306,2309.224,0.06020787,2308.7063
-14.622333010190015,99,5100,62.4320987654321,-696.3,-696.3114349876544,0.0003,51,82,5000,0.2215243,-4.5943794,61.09297,2.5893228,6.808425,0.2357853,6.949601
-14.622333010190015,101,5200,62.4320987654321,-696.3,-696.3114349876544,0.0003,51,82,5100,0.21499808,-4.7435036,63.31887,2.507071,7.371296,0.28461674,7.056355
-14.622333010190015,103,5300,62.4320987654321,-696.3,-696.3114349876544,0.0003,51,82,5200,0.2086402,-4.958858,63.124325,2.542934,6.7491655,0.035125986,6.881186
