total timesteps,time_elapsed,eplenmean,n_updates,fps,ep_rewmean,current_lr,mean 100 episode reward per step,mean 100 episode reward,episodes,policy_loss,entropy,qf2_loss,qf1_loss,ent_coef_loss,value_loss,ent_coef
8800,222,73.77,8700,39,-638.0315107800001,0.0003,-15.956436636326236,-638.0,132,121.575745,1.692757,12.063974,12.292372,-0.31892514,5.45957,0.12526146
8900,225,75.01,8800,39,-637.82329947,0.0003,-15.821285605455692,-637.8,133,118.84725,1.6607833,7.6250677,8.6122,-1.3019136,5.736228,0.12367001
9000,227,75.01,8900,39,-637.82329947,0.0003,-15.821285605455692,-637.8,133,121.49475,1.7658924,11.224686,9.907114,-2.917303,8.414296,0.11909911
9100,230,76.47,9000,39,-638.93945304,0.0003,-15.641408776142432,-638.9,134,121.571205,1.6060736,14.446734,9.027928,-1.9343178,7.0501404,0.11441046
9200,233,76.47,9100,39,-638.93945304,0.0003,-15.641408776142432,-638.9,134,119.64235,1.8740456,17.820383,20.585289,-1.806416,5.4948816,0.11138629
9300,235,76.47,9200,39,-638.93945304,0.0003,-15.641408776142432,-638.9,134,123.77488,1.7297556,2387.3254,2386.1316,-2.3994308,9.283626,0.108234674
9400,238,79.25,9300,39,-643.77419729,0.0003,-15.391198725451536,-643.8,135,123.709236,1.5900378,27.950624,20.08713,-2.6450799,14.535416,0.105047524
9500,240,79.25,9400,39,-643.77419729,0.0003,-15.391198725451536,-643.8,135,122.756165,1.718889,17.414776,17.133772,-2.2147214,12.322557,0.101436414
9600,243,79.25,9500,39,-643.77419729,0.0003,-15.391198725451536,-643.8,135,125.10371,1.78209,12.40475,10.169678,-2.6766105,7.129909,0.09824358
9700,245,81.47,9600,39,-639.84461644,0.0003,-15.282264108748358,-639.8,136,125.16107,1.6543643,12.60857,11.654149,-3.6873696,9.336672,0.09524501
9800,248,81.47,9700,39,-639.84461644,0.0003,-15.282264108748358,-639.8,136,127.07024,1.9962418,2305.632,2295.0151,-3.5765903,12.874119,0.09178485
9900,250,81.47,9800,39,-639.84461644,0.0003,-15.282264108748358,-639.8,136,130.08513,1.8947852,38.49005,45.05344,-1.6901063,22.47285,0.08919365
10000,253,84.22,9900,39,-635.84448577,0.0003,-15.036088750417152,-635.8,137,123.167206,1.8649871,9.4985075,9.10187,-4.176675,5.0397162,0.08626528
