% time spent exploring,episodes,mean 100 episode reward,mean 100 episode reward per step,steps
90,81,-626.8,-15.321671833921355,4700
90,82,-626.5,-15.532583616246553,4800
90,83,-627.2,-15.412650036830948,4900
90,85,-627.5,-15.274950728668326,5000
90,88,-627.0,-15.764550339667208,5100
89,90,-626.8,-15.833450007632228,5200
89,94,-626.2,-16.051551808278038,5300
89,97,-625.8,-16.245102369566226,5400
89,98,-625.8,-16.160758052214476,5500
89,99,-626.0,-16.068285456659904,5600
88,102,-625.7,-16.2053430336201,5700
88,105,-625.4,-16.26478278231055,5800
88,107,-625.2,-16.292814936414768,5900
88,110,-624.7,-16.551152430515714,6000
88,111,-624.8,-16.550712254234924,6100
87,113,-625.0,-16.50592080540606,6200
87,114,-625.3,-16.44048960002416,6300
87,115,-625.2,-16.45111779073308,6400
87,118,-625.4,-16.286419218097638,6500
87,120,-624.5,-16.509659254592158,6600
86,121,-624.5,-16.5065315233477,6700
86,123,-624.6,-16.489112135356244,6800
86,124,-625.1,-16.395859633433076,6900
86,126,-625.4,-16.19923331277525,7000
86,127,-625.2,-16.200424938522204,7100
85,128,-625.3,-16.157496597434992,7200
85,131,-624.7,-16.76170648632667,7300
85,133,-624.9,-16.77047781697007,7400
85,135,-624.7,-17.143987551223738,7500
85,137,-624.9,-17.02994310052576,7600
84,140,-624.7,-17.272044060297024,7700
84,141,-624.9,-16.988735667276828,7800
84,144,-624.5,-17.40897182156657,7900
84,147,-623.8,-17.80659817958384,8000
84,149,-623.4,-17.845435675988377,8100
83,152,-623.1,-17.915871601589537,8200
83,155,-622.2,-18.056746054551848,8300
83,158,-622.1,-17.93075749326532,8400
83,160,-621.1,-18.283587489029486,8500
83,164,-620.6,-18.532462918466457,8600
82,164,-620.6,-18.532462918466457,8700
82,168,-620.4,-18.809461343031035,8800
82,170,-620.5,-18.509709303256443,8900
82,173,-620.5,-18.418155088525392,9000
82,177,-619.2,-19.0968451346604,9100
81,179,-619.1,-19.183243604029688,9200
81,182,-618.7,-19.15837629115307,9300
81,184,-617.7,-19.43061990699549,9400
81,186,-617.6,-19.35233095533402,9500
81,189,-617.4,-19.186818875922405,9600
80,192,-617.4,-19.214084704377658,9700
80,194,-617.6,-19.138318948966266,9800
80,196,-617.7,-19.11213011038115,9900
80,198,-617.4,-19.33320010043746,10000
80,200,-617.4,-19.252403512541086,10100
80,203,-617.0,-19.268275618936357,10200
79,205,-617.2,-19.197141807353717,10300
79,206,-617.2,-19.17435608735166,10400
79,208,-617.5,-18.981214289346667,10500
79,211,-617.0,-18.986248167824844,10600
79,213,-616.8,-18.901567318161206,10700
78,215,-616.2,-19.09776656397336,10800
78,217,-616.0,-19.120147303153114,10900
78,218,-616.4,-19.067421855855137,11000
78,220,-616.5,-19.11345206590798,11100
78,222,-616.5,-19.21801270441094,11200
77,223,-616.4,-19.090908167558705,11300
77,224,-616.2,-19.090427347944207,11400
77,228,-615.4,-19.406687219449854,11500
77,228,-615.4,-19.406687219449854,11600
77,230,-616.5,-19.07441289561774,11700
76,232,-616.3,-18.985058400145185,11800
76,233,-616.2,-18.96562230652954,11900
76,237,-616.1,-18.892124709605312,12000
76,240,-616.0,-19.054054843955253,12100
76,242,-615.7,-19.172270772467467,12200
75,243,-615.7,-19.20633045405254,12300
75,245,-616.4,-18.940003903807902,12400
75,248,-616.5,-18.79652144568271,12500
75,252,-616.4,-19.22294526207882,12600
75,254,-616.4,-19.271747015982424,12700
74,256,-616.5,-19.17176438529196,12800
74,260,-616.6,-19.271223379842148,12900
74,262,-616.6,-19.2200340360397,13000
74,263,-616.7,-19.0837578120313,13100
74,265,-616.4,-18.97304566242397,13200
73,268,-616.6,-18.795585893491225,13300
73,269,-616.9,-18.66613186359593,13400
73,270,-617.0,-18.535794376196915,13500
73,273,-616.9,-18.672177566802425,13600
73,273,-616.9,-18.672177566802425,13700
72,275,-617.6,-18.234837131712,13800
72,278,-617.8,-17.898167940764605,13900
72,279,-617.8,-17.86356287615038,14000
72,281,-617.9,-17.770540965535847,14100
72,284,-618.0,-17.851122205841232,14200
71,286,-617.8,-18.221663342178122,14300
71,290,-617.7,-18.487332718371928,14400
71,292,-617.6,-18.473584281327323,14500
71,295,-617.6,-18.429824475313943,14600
71,298,-617.5,-18.292296958006734,14700
70,300,-617.4,-18.437083642800513,14800
70,303,-617.4,-18.618878851958662,14900
70,306,-617.1,-18.877735353431916,15000
70,310,-616.7,-19.144208579179963,15100
