episodes,mean 100 episode reward per step,% time spent exploring,steps,mean 100 episode reward
491,-7.941248335561681,29,35800,-582.9
492,-7.780450818326213,29,35900,-583.1
492,-7.780450818326213,29,36000,-583.1
492,-7.780450818326213,29,36100,-583.1
493,-7.756861276806031,29,36200,-583.1
493,-7.756861276806031,28,36300,-583.1
493,-7.756861276806031,28,36400,-583.1
494,-7.605608102087906,28,36500,-583.9
495,-7.594136947201909,28,36600,-583.9
495,-7.594136947201909,28,36700,-583.9
495,-7.594136947201909,27,36800,-583.9
496,-7.309587157400818,27,36900,-578.6
496,-7.309587157400818,27,37000,-578.6
498,-7.229298891906332,27,37100,-578.7
498,-7.229298891906332,27,37200,-578.7
498,-7.229298891906332,26,37300,-578.7
499,-7.2020673929007275,26,37400,-573.0
499,-7.2020673929007275,26,37500,-573.0
499,-7.2020673929007275,26,37600,-573.0
500,-7.122840221635595,26,37700,-567.4
500,-7.122840221635595,25,37800,-567.4
501,-7.160392897067663,25,37900,-572.8
501,-7.160392897067663,25,38000,-572.8
501,-7.160392897067663,25,38100,-572.8
502,-7.121615098107023,25,38200,-567.1
502,-7.121615098107023,24,38300,-567.1
502,-7.121615098107023,24,38400,-567.1
503,-6.939439874209627,24,38500,-561.6
505,-7.147232664660828,24,38600,-561.1
505,-7.147232664660828,24,38700,-561.1
505,-7.147232664660828,23,38800,-561.1
506,-7.146525333883403,23,38900,-560.9
506,-7.146525333883403,23,39000,-560.9
506,-7.146525333883403,23,39100,-560.9
507,-7.05422143405956,23,39200,-555.2
507,-7.05422143405956,22,39300,-555.2
508,-7.032854148226841,22,39400,-555.4
508,-7.032854148226841,22,39500,-555.4
509,-7.077315172015203,22,39600,-560.6
509,-7.077315172015203,22,39700,-560.6
510,-7.010443177012672,21,39800,-560.8
510,-7.010443177012672,21,39900,-560.8
510,-7.010443177012672,21,40000,-560.8
511,-6.9864708688381825,21,40100,-554.8
511,-6.9864708688381825,21,40200,-554.8
511,-6.9864708688381825,21,40300,-554.8
512,-6.957639730097917,20,40400,-555.1
513,-6.8984588811664045,20,40500,-555.2
513,-6.8984588811664045,20,40600,-555.2
514,-6.904290418295322,20,40700,-555.0
514,-6.904290418295322,20,40800,-555.0
515,-6.884772194447965,19,40900,-555.0
515,-6.884772194447965,19,41000,-555.0
516,-6.870566246194068,19,41100,-555.0
516,-6.870566246194068,19,41200,-555.0
516,-6.870566246194068,19,41300,-555.0
517,-6.794896447908737,18,41400,-549.5
517,-6.794896447908737,18,41500,-549.5
517,-6.794896447908737,18,41600,-549.5
519,-6.729103316311604,18,41700,-549.6
521,-6.992188863597222,18,41800,-553.8
521,-6.992188863597222,17,41900,-553.8
522,-6.9992782664512285,17,42000,-553.5
523,-6.9820487394780875,17,42100,-553.4
524,-6.787425759779403,17,42200,-553.5
524,-6.787425759779403,17,42300,-553.5
524,-6.787425759779403,16,42400,-553.5
525,-6.700387069304172,16,42500,-547.8
525,-6.700387069304172,16,42600,-547.8
526,-6.646225204896618,16,42700,-547.9
527,-6.680690918469835,16,42800,-553.2
528,-6.701479925922528,15,42900,-553.2
529,-6.74162080176243,15,43000,-552.9
529,-6.74162080176243,15,43100,-552.9
529,-6.74162080176243,15,43200,-552.9
530,-6.600275594244414,15,43300,-547.1
530,-6.600275594244414,14,43400,-547.1
531,-6.559892507921345,14,43500,-547.2
531,-6.559892507921345,14,43600,-547.2
532,-6.549004341532248,14,43700,-547.1
533,-6.550439040306845,14,43800,-547.2
533,-6.550439040306845,13,43900,-547.2
534,-6.482047077705925,13,44000,-547.3
534,-6.482047077705925,13,44100,-547.3
534,-6.482047077705925,13,44200,-547.3
535,-6.45966969045778,13,44300,-541.2
535,-6.45966969045778,12,44400,-541.2
536,-6.469180414040775,12,44500,-540.8
536,-6.469180414040775,12,44600,-540.8
537,-6.430760519881341,12,44700,-540.8
538,-6.473522778766635,12,44800,-546.3
538,-6.473522778766635,11,44900,-546.3
538,-6.473522778766635,11,45000,-546.3
539,-6.387387136867696,11,45100,-540.6
539,-6.387387136867696,11,45200,-540.6
540,-6.369742532395541,11,45300,-540.7
540,-6.369742532395541,11,45400,-540.7
540,-6.369742532395541,10,45500,-540.7
541,-6.315094269565588,10,45600,-534.9
541,-6.315094269565588,10,45700,-534.9
541,-6.315094269565588,10,45800,-534.9
542,-6.226881088201707,10,45900,-529.1
543,-6.263383950733703,9,46000,-534.7
543,-6.263383950733703,9,46100,-534.7
543,-6.263383950733703,9,46200,-534.7
544,-6.2408498720422925,9,46300,-528.7
545,-6.27158512932493,9,46400,-528.6
546,-6.3253175134394715,8,46500,-528.3
546,-6.3253175134394715,8,46600,-528.3
546,-6.3253175134394715,8,46700,-528.3
547,-6.152720085934003,8,46800,-522.7
547,-6.152720085934003,8,46900,-522.7
547,-6.152720085934003,7,47000,-522.7
548,-6.122523328065949,7,47100,-516.7
548,-6.122523328065949,7,47200,-516.7
548,-6.122523328065949,7,47300,-516.7
549,-5.97475333371915,7,47400,-511.0
550,-5.8942500803296625,6,47500,-511.0
551,-5.82332240754846,6,47600,-511.2
551,-5.82332240754846,6,47700,-511.2
551,-5.82332240754846,6,47800,-511.2
552,-5.62841160506544,6,47900,-511.4
553,-5.605472627608217,5,48000,-511.3
553,-5.605472627608217,5,48100,-511.3
554,-5.629520793880686,5,48200,-510.9
554,-5.629520793880686,5,48300,-510.9
555,-5.49596834392185,5,48400,-511.1
555,-5.49596834392185,4,48500,-511.1
555,-5.49596834392185,4,48600,-511.1
558,-5.583003866515903,4,48700,-505.0
558,-5.583003866515903,4,48800,-505.0
559,-5.600682351041753,4,48900,-504.7
560,-5.634240626788129,3,49000,-510.3
560,-5.634240626788129,3,49100,-510.3
561,-5.651428957525403,3,49200,-510.0
561,-5.651428957525403,3,49300,-510.0
561,-5.651428957525403,3,49400,-510.0
562,-5.507177433931966,2,49500,-504.2
562,-5.507177433931966,2,49600,-504.2
562,-5.507177433931966,2,49700,-504.2
563,-5.450591104992786,2,49800,-498.4
564,-5.266683086911097,2,49900,-498.5
564,-5.266683086911097,2,50000,-498.5
564,-5.266683086911097,2,50100,-498.5
565,-5.218468007148653,2,50200,-492.5
567,-5.283887275870654,2,50300,-491.9
567,-5.283887275870654,2,50400,-491.9
569,-5.11023504467137,2,50500,-491.9
570,-5.10952741919931,2,50600,-491.9
570,-5.10952741919931,2,50700,-491.9
570,-5.10952741919931,2,50800,-491.9
571,-5.083314208801641,2,50900,-486.0
572,-5.070533600016986,2,51000,-486.0
573,-5.23938493719441,2,51100,-485.8
573,-5.23938493719441,2,51200,-485.8
573,-5.23938493719441,2,51300,-485.8
574,-5.209506559851503,2,51400,-480.2
575,-5.240161847366984,2,51500,-479.8
576,-5.266444874157851,2,51600,-479.5
576,-5.266444874157851,2,51700,-479.5
578,-5.477523916423368,2,51800,-479.4
578,-5.477523916423368,2,51900,-479.4
578,-5.477523916423368,2,52000,-479.4
579,-5.4510139834536435,2,52100,-473.9
581,-5.6312056702990825,2,52200,-473.5
582,-5.581608105930171,2,52300,-473.5
582,-5.581608105930171,2,52400,-473.5
582,-5.581608105930171,2,52500,-473.5
583,-5.555553263728606,2,52600,-467.4
584,-5.505582387751056,2,52700,-467.5
586,-5.946750578501224,2,52800,-466.9
587,-5.917126986964807,2,52900,-466.8
587,-5.917126986964807,2,53000,-466.8
587,-5.917126986964807,2,53100,-466.8
588,-5.890314132842733,2,53200,-461.0
588,-5.890314132842733,2,53300,-461.0
588,-5.890314132842733,2,53400,-461.0
590,-5.864171734819197,2,53500,-454.9
591,-5.853123971772326,2,53600,-454.9
591,-5.853123971772326,2,53700,-454.9
591,-5.853123971772326,2,53800,-454.9
593,-5.876695030451331,2,53900,-448.7
593,-5.876695030451331,2,54000,-448.7
595,-5.905063818355071,2,54100,-448.0
595,-5.905063818355071,2,54200,-448.0
595,-5.905063818355071,2,54300,-448.0
596,-5.927238460077598,2,54400,-453.5
596,-5.927238460077598,2,54500,-453.5
596,-5.927238460077598,2,54600,-453.5
597,-5.916893958139134,2,54700,-453.4
