entloss,EpLenMean,TimeElapsed,EpisodesSoFar,entropy,EpRew/step,TimestepsSoFar,meankl,surrgain,explained_variance_tdlam_before,EpThisIter,EpRewMean,optimgain
0.0,170.85,26640.975234746933,1171,0.60409033,-0.22266948102288908,171008,0.008622837,0.02857085,0.06216263771057129,7,-26.2633997,0.02857085
0.0,165.3,26795.537782907486,1176,0.5907463,-0.21723645002136557,172032,0.01037588,0.012587808,0.16293835639953613,5,-24.95133115,0.012587808
0.0,170.4,26953.364847660065,1183,0.6610214,-0.20480983474150563,173056,0.01049816,0.034094177,0.1383921504020691,7,-24.924252225,0.034094177
0.0,177.475,27113.438289642334,1190,0.6675166,-0.19564851873221398,174080,0.00830359,0.03413049,0.06436562538146973,7,-25.435637774999996,0.03413049
0.0,179.4,27266.662196159363,1194,0.65837944,-0.18957118015274918,175104,0.009544106,0.020628527,-0.9368950128555298,4,-25.2416074,0.020628527
0.0,178.625,27422.635046720505,1199,0.64264756,-0.18380553993996923,176128,0.008300662,0.024823757,0.15896952152252197,5,-24.5906895,0.024823757
0.0,174.425,27607.44157934189,1206,0.47404292,-0.1883946812022684,177152,0.008698514,0.019098124,0.3143486976623535,7,-24.764463874999997,0.019098124
0.0,174.825,27764.15141272545,1212,0.6546403,-0.1877256907115247,178176,0.011195817,0.034467027,-0.004496932029724121,6,-25.734356525,0.034467027
0.0,180.225,27919.580387592316,1216,0.50362307,-0.1883113034680987,179200,0.011077316,0.022063904,-0.5372774600982666,4,-25.98611125,0.022063904
0.0,173.625,28072.961184978485,1224,0.59977454,-0.19106785382205937,180224,0.0111439545,0.03516232,0.2022576928138733,8,-25.215964525,0.03516232
0.0,169.0,28226.441911697388,1231,0.6014332,-0.19607808082369535,181248,0.010373615,0.03286426,-0.10936248302459717,7,-25.546140299999998,0.03286426
0.0,154.3,28382.280937433243,1239,0.57515466,-0.216220644989383,182272,0.010060443,0.025179572,0.46393728256225586,8,-24.732567575,0.025179572
0.0,152.325,28581.0217628479,1246,0.66561747,-0.21210850252461605,183296,0.0112395715,0.029986113,0.0031841397285461426,7,-24.623076225,0.029986113
0.0,151.575,28735.00263428688,1252,0.49535695,-0.21683257783426707,184320,0.010694279,0.02698952,0.6753110289573669,6,-24.6607821,0.02698952
0.0,155.325,28889.502717733383,1256,0.58790696,-0.21700026132777772,185344,0.010051139,0.04031283,0.4226568341255188,4,-26.273413125,0.04031283
0.0,147.9,29046.197092294693,1266,0.58869845,-0.21829992957870145,186368,0.014206059,0.040694818,0.2220097780227661,10,-24.934340575,0.040694818
0.0,157.15,29201.358559846878,1271,0.623464,-0.21247729534098508,187392,0.010181049,0.028004024,-0.38952386379241943,5,-25.424849925,0.028004024
0.0,161.925,29357.51068019867,1278,0.6893963,-0.2072217632579756,188416,0.009371789,0.034831375,0.24156051874160767,7,-27.019019874999998,0.034831375
0.0,153.6,29512.122237443924,1286,0.6170049,-0.21576470749864468,189440,0.01053487,0.042226594,-0.001976609230041504,8,-25.749442425,0.042226594
0.0,159.95,29667.683830738068,1290,0.5763728,-0.21422535918501984,190464,0.011241619,0.03692197,0.19783300161361694,4,-26.237049425000002,0.03692197
0.0,154.925,29824.79400229454,1296,0.46457762,-0.21542853771379256,191488,0.008880524,0.02661601,-0.013294816017150879,6,-25.4569233,0.02661601
0.0,167.0,29981.858723402023,1300,0.565852,-0.21549591756266925,192512,0.009774865,0.03711735,-0.05393552780151367,4,-26.641599175,0.03711735
0.0,180.125,30137.828264951706,1306,0.61587375,-0.2096300236211722,193536,0.009508314,0.027395245,0.19117867946624756,6,-27.920284400000003,0.027395245
0.0,175.025,30292.576400995255,1312,0.6257277,-0.21365740745644626,194560,0.010146742,0.029941112,0.08736944198608398,6,-27.249461274999998,0.029941112
0.0,179.75,30449.07212114334,1317,0.58515054,-0.20962438013378026,195584,0.010526311,0.029985264,0.3409583568572998,5,-27.489400449999998,0.029985264
0.0,195.725,30607.024723291397,1323,0.44512662,-0.1973806343658427,196608,0.00943917,0.02930016,0.04493916034698486,6,-29.4580604,0.02930016
0.0,196.675,30762.460732460022,1327,0.5953045,-0.19769849611477844,197632,0.009770438,0.03656835,0.29007357358932495,4,-29.739648025,0.03656835
0.0,199.425,30917.40663766861,1331,0.6470075,-0.19108669433621514,198656,0.010459117,0.033195082,-0.45891034603118896,4,-29.512637575000003,0.033195082
