EpisodesSoFar,TimeElapsed,entloss,EpRewMean,surrgain,EpThisIter,explained_variance_tdlam_before,entropy,optimgain,EpLenMean,EpRew/step,TimestepsSoFar,meankl
731,16836.124614953995,0.0,-59.974861925000006,0.02922929,4,-0.012537002563476562,3.3674772,0.02922929,135.675,-0.869141002251913,108544,0.009421308
737,16991.926065206528,0.0,-63.76012635000001,0.027581185,6,0.16961610317230225,3.3557758,0.027581185,149.775,-0.8695155545575511,109568,0.009266536
741,17149.376096248627,0.0,-48.687630825,0.043278754,4,-0.024753332138061523,3.3859391,0.043278754,160.175,-0.3407891550496352,110592,0.009856755
748,17306.803000211716,0.0,-66.05943317500001,0.059322342,7,-0.000989675521850586,3.3839724,0.059322342,167.875,-0.38705122920847657,111616,0.008514825
753,17462.077482700348,0.0,-65.83883612500001,0.044031505,5,-0.021191000938415527,3.4043977,0.044031505,177.05,-0.37203866376198835,112640,0.0093838535
761,17618.8994948864,0.0,-79.6250843,0.04740885,8,-0.0006144046783447266,3.4126759,0.04740885,170.075,-0.47113607776608857,113664,0.005812968
766,17774.047564029694,0.0,-87.39584625,0.06377232,5,0.15595775842666626,3.409863,0.06377232,181.875,-0.49241238049865854,114688,0.010286675
772,17930.674938440323,0.0,-85.7847113,0.025719853,6,-0.8148074150085449,3.4094927,0.025719853,177.7,-0.49331874939340725,115712,0.009815485
776,18084.267320156097,0.0,-91.32139732499999,0.024388617,4,0.22997283935546875,3.4557383,0.024388617,184.375,-0.5107609128070587,116736,0.009669941
783,18237.138737916946,0.0,-85.810809475,0.025382703,7,-0.35577404499053955,3.4720938,0.025382703,167.425,-0.5122696678652742,117760,0.009609485
790,18393.381009340286,0.0,-71.47351405,0.030577406,7,-0.02761101722717285,3.49135,0.030577406,165.2,-0.46622278467711925,118784,0.009533593
794,18546.188777685165,0.0,-60.4880806,0.032519765,4,-0.35350966453552246,3.518307,0.032519765,178.075,-0.37648361361481075,119808,0.010115546
800,18701.29177761078,0.0,-61.58370892500001,0.029097803,6,0.013691067695617676,3.522242,0.029097803,182.225,-0.37055350771849105,120832,0.009412258
806,18857.69315958023,0.0,-58.1931087,0.034917407,6,-0.04637348651885986,3.5742364,0.034917407,183.05,-0.3483852494308541,121856,0.010040279
