fps,ep_rewmean,mean 100 episode reward per step,time_elapsed,n_updates,mean 100 episode reward,episodes,total timesteps,current_lr,eplenmean,value_loss,policy_loss,ent_coef,qf2_loss,qf1_loss,ent_coef_loss,entropy
5,-661.7478774099999,-23.798570727863897,1604,8700,-661.7,215,8800,0.0003,37.47,8.088664,174.0215,0.08827515,3782.8926,3802.317,-3.4339063,2.129225
5,-659.10967506,-24.24463751591851,1623,8800,-659.1,218,8900,0.0003,36.6,5.1105995,176.08597,0.08690373,2502.8838,2512.1543,-3.2040176,1.8096677
5,-653.83185394,-24.701446157042433,1641,8900,-653.8,221,9000,0.0003,34.25,3.7890825,178.71138,0.08591134,1396.4921,1399.6635,-2.3274126,1.7584189
5,-653.9011387799999,-24.83421878012483,1658,9000,-653.9,224,9100,0.0003,33.4,7.228204,184.10449,0.08499651,2466.1772,2480.2559,-2.845424,2.0232835
5,-654.0713224799999,-24.89505452787617,1676,9100,-654.1,226,9200,0.0003,33.37,7.6452665,187.452,0.08340847,20.893194,20.608515,-2.2043843,1.8372822
5,-651.5329405599999,-25.273491580248482,1696,9200,-651.5,230,9300,0.0003,32.61,5.5866885,183.95624,0.08249241,1201.4712,1206.5634,-0.6495251,1.5865481
5,-650.98492702,-25.31188398179787,1713,9300,-651.0,234,9400,0.0003,32.2,3.298226,180.28104,0.081867,2370.381,2381.3489,-0.66456485,1.6691451
5,-650.30221019,-26.290919935749162,1731,9400,-650.3,239,9500,0.0003,31.0,8.756575,178.6254,0.08183456,29.7016,29.461483,0.97695625,1.7461286
5,-648.81840427,-26.747332771692058,1750,9500,-648.8,243,9600,0.0003,29.98,8.28717,173.25714,0.080820866,25.178612,22.63375,0.15677002,1.4636421
5,-647.28206926,-27.435893535136355,1768,9600,-647.3,248,9700,0.0003,28.15,5.6649027,185.44055,0.0811422,1139.1615,1141.6353,-1.1668116,1.8031427
5,-644.16761237,-27.405170100666655,1786,9700,-644.2,251,9800,0.0003,27.65,7.0760813,188.58708,0.07990499,1106.8755,1110.9756,-2.8199768,1.5162148
5,-644.16761237,-27.405170100666655,1803,9800,-644.2,251,9900,0.0003,27.65,8.248906,182.96695,0.078949615,1109.4949,1112.0465,-1.1357671,1.6388131
5,-645.2995534500001,-27.35083277123592,1821,9900,-645.3,252,10000,0.0003,29.09,7.061049,189.25177,0.07831272,3210.641,3221.0461,-2.3765686,1.4933012
5,-645.2995534500001,-27.35083277123592,1838,10000,-645.3,252,10100,0.0003,29.09,10.694195,180.89035,0.07769139,1063.5178,1060.5259,0.760924,1.5069191
5,-645.6553570100001,-27.169593799865133,1856,10100,-645.7,253,10200,0.0003,30.88,13.8766365,191.39758,0.07782575,1097.8165,1102.3744,0.43873826,1.5777365
5,-645.39180619,-27.161607411414817,1874,10200,-645.4,254,10300,0.0003,30.88,13.958027,187.48857,0.0776133,1058.3807,1061.0374,-0.04576075,1.5706489
5,-645.39180619,-27.161607411414817,1891,10300,-645.4,254,10400,0.0003,30.88,11.948391,192.65765,0.07702184,2024.2555,2030.5743,-2.4964952,1.3171356
5,-645.39180619,-27.161607411414817,1911,10400,-645.4,254,10500,0.0003,30.88,9.314645,188.6901,0.07668032,3001.6343,3006.3994,0.7811146,1.4751294
5,-640.0759482299999,-26.88747581484149,1928,10500,-640.1,255,10600,0.0003,33.65,10.874057,194.33224,0.07674369,2945.818,2957.0068,0.56297004,1.6063001
5,-639.76047287,-26.643540526654323,1947,10600,-639.8,256,10700,0.0003,35.1,7.3258657,188.94891,0.07628675,991.1061,992.6241,-0.009371519,1.6459321
5,-639.3534525,-26.63703180034351,1964,10700,-639.4,257,10800,0.0003,35.09,38.887016,178.38695,0.07566636,984.8438,988.4889,-0.49872082,1.4818964
5,-639.3534525,-26.63703180034351,1982,10800,-639.4,257,10900,0.0003,35.09,16.66743,199.72064,0.0755585,1892.4637,1898.2588,0.26144695,1.4937385
5,-639.2920689499999,-26.549823421731855,1999,10900,-639.3,258,11000,0.0003,37.09,13.154951,195.90625,0.0759662,22.80231,21.471025,0.9188187,1.2408305
5,-639.2920689499999,-26.549823421731855,2016,11000,-639.3,258,11100,0.0003,37.09,12.032799,191.13095,0.07622134,16.163391,15.424894,-0.8394239,1.4742861
5,-639.2920689499999,-26.549823421731855,2034,11100,-639.3,258,11200,0.0003,37.09,9.95639,194.60886,0.07580142,2707.712,2717.1736,-0.09621607,1.4451828
5,-633.69855958,-26.281747955794522,2052,11200,-633.7,259,11300,0.0003,39.85,14.292904,193.35593,0.075851336,2669.4768,2682.2966,0.6190621,1.6037176
5,-633.69855958,-26.281747955794522,2071,11300,-633.7,259,11400,0.0003,39.85,13.894243,191.36743,0.07523616,897.37463,892.2757,2.8156526,1.3539674
5,-633.69855958,-26.281747955794522,2089,11400,-633.7,259,11500,0.0003,39.85,8.777206,194.35641,0.075971834,15.966528,14.693484,-0.009306729,1.6194495
5,-627.96146214,-26.101718867564283,2107,11500,-628.0,260,11600,0.0003,42.48,11.26973,194.82233,0.07667207,4304.3643,4326.578,-0.6953992,1.749893
5,-627.74259258,-26.1012621005037,2126,11600,-627.7,261,11700,0.0003,42.47,8.922938,192.28781,0.076292045,26.320103,25.83799,0.9891196,1.6494801
5,-627.74259258,-26.1012621005037,2145,11700,-627.7,261,11800,0.0003,42.47,12.344135,196.51662,0.07814227,2507.823,2519.7834,0.41028225,1.6269631
5,-627.74259258,-26.1012621005037,2162,11800,-627.7,261,11900,0.0003,42.47,8.846487,192.67456,0.078994654,15.774611,16.562046,1.9553238,1.6051434
5,-623.20540536,-25.9907045447199,2180,11900,-623.2,262,12000,0.0003,44.94,10.790976,189.41426,0.080495566,820.7077,823.6365,1.0667206,1.578828
5,-623.20540536,-25.9907045447199,2198,12000,-623.2,262,12100,0.0003,44.94,8.723379,190.63939,0.08106143,812.20465,813.36316,1.0075856,1.5062703
5,-623.20540536,-25.9907045447199,2216,12100,-623.2,262,12200,0.0003,44.94,9.933973,191.97266,0.08365474,2389.5596,2396.2449,-0.67470986,1.5855926
5,-618.13139952,-25.72951142486667,2233,12200,-618.1,263,12300,0.0003,47.7,25.73591,198.54022,0.08332244,3148.144,3159.2466,1.460984,1.7593122
5,-618.13139952,-25.72951142486667,2253,12300,-618.1,263,12400,0.0003,47.7,13.755712,187.23706,0.0836419,819.50757,819.9226,-0.5312518,1.5869329
5,-618.13139952,-25.72951142486667,2272,12400,-618.1,263,12500,0.0003,47.7,42.635708,197.40913,0.08211661,2196.2603,2206.2732,-1.9529922,1.9920707
5,-613.2540818499999,-25.61029187375487,2291,12500,-613.3,264,12600,0.0003,50.18,7.297729,185.97113,0.08101464,9.720104,8.634568,-0.13252325,1.7305257
5,-613.2540818499999,-25.61029187375487,2310,12600,-613.3,264,12700,0.0003,50.18,14.899525,197.94348,0.08122495,2252.933,2259.6902,1.6040957,1.4227333
5,-613.2540818499999,-25.61029187375487,2327,12700,-613.3,264,12800,0.0003,50.18,9.287209,191.87448,0.08192981,749.4086,748.28516,-0.3367215,1.8156779
5,-608.1691585699999,-25.448595411616406,2345,12800,-608.2,265,12900,0.0003,52.8,11.386015,197.31671,0.08058142,4202.4014,4194.1357,-0.19065675,1.6170138
5,-608.1691585699999,-25.448595411616406,2363,12900,-608.2,265,13000,0.0003,52.8,20.046387,197.63742,0.07921384,25.436596,20.690546,-0.4954818,1.627403
5,-608.1691585699999,-25.448595411616406,2380,13000,-608.2,265,13100,0.0003,52.8,15.9499445,180.4104,0.08004166,1420.9521,1426.2747,0.28193444,1.6773181
5,-602.7730967699999,-25.36162855198095,2398,13100,-602.8,266,13200,0.0003,55.08,29.870537,201.20657,0.08046671,1645.1001,1650.2312,0.87536454,1.6254635
5,-602.7730967699999,-25.36162855198095,2416,13200,-602.8,266,13300,0.0003,55.08,37.72532,192.85265,0.08118812,1381.7732,1385.8696,0.32493615,1.6907046
5,-602.7730967699999,-25.36162855198095,2433,13300,-602.8,266,13400,0.0003,55.08,13.381228,187.80878,0.080789134,683.20123,684.12823,-1.86257,1.6827247
5,-597.90884388,-24.94295894618988,2451,13400,-597.9,267,13500,0.0003,57.93,14.550425,189.77574,0.078488275,678.0515,681.0647,-0.123788536,1.7288389
5,-597.90884388,-24.94295894618988,2469,13500,-597.9,267,13600,0.0003,57.93,11.491804,196.25809,0.077416606,2798.2686,2798.8276,-1.193084,1.6781611
5,-597.90884388,-24.94295894618988,2487,13600,-597.9,267,13700,0.0003,57.93,14.840214,207.81682,0.07687813,96.21372,95.70337,2.759753,1.4676743
5,-592.85931805,-24.790242060829787,2505,13700,-592.9,268,13800,0.0003,60.53,6.5857525,174.29416,0.07738876,1415.1451,1416.7833,-1.3183236,1.6532012
5,-592.85931805,-24.790242060829787,2523,13800,-592.9,268,13900,0.0003,60.53,16.55503,192.29102,0.07743618,14.115669,10.027423,-0.3785409,1.6185033
5,-592.85931805,-24.790242060829787,2541,13900,-592.9,268,14000,0.0003,60.53,33.17781,210.46524,0.07611541,1332.8716,1354.8774,-0.157042,1.5919108
5,-588.27064758,-24.55168690401118,2559,14000,-588.3,269,14100,0.0003,63.27,9.138775,187.51172,0.07437374,629.8928,634.9633,-0.7440538,1.7847838
5,-588.27064758,-24.55168690401118,2576,14100,-588.3,269,14200,0.0003,63.27,14.883572,195.00775,0.07374404,1825.2875,1803.5757,-1.2570794,1.496951
5,-588.27064758,-24.55168690401118,2595,14200,-588.3,269,14300,0.0003,63.27,42.324898,187.89014,0.07394383,618.10236,618.0651,0.28454491,1.6571287
