total timesteps,episodes,current_lr,n_updates,eplenmean,fps,time_elapsed,mean 100 episode reward,ep_rewmean,value_loss,qf2_loss,ent_coef_loss,entropy,ent_coef,qf1_loss,policy_loss
4953,115,0.0003,4853,43.0,42,117,-669.1,-669.1360624199999,2.6430836,1785.8234,-3.3478465,2.3045921,0.26113582,1787.5228,108.2893
4991,116,0.0003,4891,42.68,42,118,-668.7,-668.65328627,1.9528117,3723.2527,-2.2639766,2.0974405,0.25858986,3741.4087,110.45557
5013,117,0.0003,4913,42.35,42,118,-668.8,-668.78420119,2.014246,25.946064,-3.37438,2.204538,0.2569803,24.625542,108.381836
5042,118,0.0003,4942,41.56,42,119,-668.4,-668.40518874,8.283531,1788.0253,-2.8200045,2.0746493,0.2548384,1787.8191,107.966385
5088,119,0.0003,4988,41.53,42,120,-667.8,-667.8153298299999,7.8195806,30.959972,-2.67543,2.1361475,0.25176248,28.748295,109.62596
5172,120,0.0003,5072,40.34,42,122,-667.5,-667.4702794699999,4.798546,43.863213,-2.983027,2.0985785,0.24564879,41.985874,109.661804
5226,121,0.0003,5126,40.29,42,124,-667.6,-667.5795123800001,2.184147,7272.711,-3.010256,2.0071747,0.2417868,7304.389,112.70163
5282,122,0.0003,5182,40.61,42,125,-667.7,-667.66966528,1.8783864,3647.2612,-3.3112645,2.150319,0.23796427,3662.6653,112.52322
5302,123,0.0003,5202,40.54,42,125,-667.9,-667.9153481499999,1.4460094,21.644869,-3.3654716,2.1164217,0.23659945,21.357376,113.251785
5329,124,0.0003,5229,40.42,42,126,-667.7,-667.6870226100001,1.7777212,5127.0737,-3.1130471,2.1986613,0.23476832,5127.8657,117.591194
5389,125,0.0003,5289,40.85,42,127,-669.4,-669.3847341900001,1.3141639,5105.168,-2.765307,1.8771932,0.23070902,5108.347,112.999695
5409,126,0.0003,5309,40.67,42,128,-669.2,-669.22051819,1.6598661,1712.8235,-3.3423595,2.1326432,0.22943716,1714.3615,115.61607
5443,127,0.0003,5343,40.75,42,129,-668.9,-668.93637804,9.238319,3643.6943,-3.162024,2.142147,0.22716857,3639.817,116.24767
5464,128,0.0003,5364,40.71,42,129,-668.9,-668.8505884299999,5.0878515,19.978579,-2.533144,2.0975828,0.22588125,17.761929,117.00168
5481,129,0.0003,5381,40.27,42,130,-668.1,-668.1051318799999,4.886362,22.074867,-3.544385,2.2281313,0.22489284,21.674265,118.94852
5534,130,0.0003,5434,40.39,42,131,-667.9,-667.8771491299999,2.986484,1731.7244,-2.7679992,1.8623109,0.22169791,1727.4419,117.53114
