steps,mean 100 episode reward per step,episodes,% time spent exploring,mean 100 episode reward
7800,-0.1767087057850618,83,84,-15.3
7900,-0.17725212717652092,85,84,-15.3
8000,-0.177533434129166,86,84,-15.2
8100,-0.1776002405529779,87,84,-15.3
8200,-0.1774844448162009,88,83,-15.3
8300,-0.1774844448162009,88,83,-15.3
8400,-0.17732705924056213,89,83,-15.5
8500,-0.17732705924056213,89,83,-15.5
8600,-0.17668996350710875,91,83,-15.5
8700,-0.176267407545262,92,82,-15.5
8800,-0.17601448845770534,93,82,-15.5
8900,-0.17649426034603846,94,82,-15.4
9000,-0.17649426034603846,94,82,-15.4
9100,-0.1765460481964883,96,82,-15.6
9200,-0.17664155584048125,97,81,-15.6
9300,-0.17664155584048125,97,81,-15.6
9400,-0.17579157275377588,98,81,-15.6
9500,-0.17661719602504933,99,81,-15.6
9600,-0.17612996690185254,100,81,-15.6
9700,-0.1759439262602647,101,80,-15.6
9800,-0.1759439262602647,101,80,-15.6
9900,-0.17492242292693677,102,80,-15.7
10000,-0.17455087542505038,104,80,-15.6
10100,-0.17422459392010253,105,80,-15.7
10200,-0.17506920797344894,107,80,-15.7
10300,-0.17525515002613493,108,79,-15.6
10400,-0.1753700429419608,110,79,-15.6
10500,-0.17624191231132563,111,79,-15.5
10600,-0.17624191231132563,111,79,-15.5
10700,-0.1763508573573025,113,79,-15.6
10800,-0.1763508573573025,113,78,-15.6
10900,-0.17575015112964348,114,78,-15.6
11000,-0.17580419764199198,115,78,-15.6
11100,-0.17525781367352772,116,78,-15.7
11200,-0.17525781367352772,116,78,-15.7
11300,-0.17526685839347375,117,77,-15.7
11400,-0.17526685839347375,117,77,-15.7
11500,-0.1750905701881329,118,77,-15.8
11600,-0.17469366973951042,119,77,-15.8
11700,-0.17482630245541525,120,77,-15.8
11800,-0.17440071288619774,121,76,-15.8
11900,-0.17426852463899897,122,76,-15.6
12000,-0.1739824197482463,123,76,-15.7
12100,-0.17461041202607422,125,76,-15.7
12200,-0.17461041202607422,125,76,-15.7
12300,-0.17317079801922217,126,75,-15.7
12400,-0.17298242118316748,127,75,-15.6
12500,-0.17298242118316748,127,75,-15.6
12600,-0.1734852166888644,128,75,-15.6
12700,-0.1720528561965392,129,75,-15.7
12800,-0.1720528561965392,129,74,-15.7
12900,-0.1700462692522959,130,74,-15.8
13000,-0.1692006758901767,131,74,-15.6
13100,-0.1693039292581107,132,74,-15.6
13200,-0.1686478209133963,134,74,-15.6
13300,-0.16821140478306174,135,73,-15.6
13400,-0.16719576568813221,136,73,-15.4
13500,-0.1676685047448977,137,73,-15.4
13600,-0.1676685047448977,137,73,-15.4
13700,-0.16618032782376008,138,73,-15.5
13800,-0.16618032782376008,138,72,-15.5
13900,-0.16550085407642978,139,72,-15.5
14000,-0.16581555309464172,141,72,-15.6
14100,-0.16579997356210588,142,72,-15.5
14200,-0.16579997356210588,142,72,-15.5
14300,-0.16569274288935162,143,71,-15.6
