EpThisIter,entloss,entropy,EpisodesSoFar,surrgain,TimeElapsed,explained_variance_tdlam_before,EpLenMean,optimgain,meankl,EpRewMean,TimestepsSoFar,EpRew/step
9,0.0,0.71280646,592,0.03276604,10351.908700227737,0.06989127397537231,145.625,0.03276604,0.009907794,-25.287039475,74752,-0.21163728147156635
8,0.0,0.8647824,600,0.029715639,10496.978255033493,0.22047215700149536,146.1,0.029715639,0.009153976,-26.0876964,75776,-0.20863222406038737
12,0.0,0.8973154,612,0.034902424,10644.334826469421,0.3296937346458435,125.15,0.034902424,0.009991762,-24.182154975,76800,-0.22759027018328415
7,0.0,0.84132546,619,0.025307909,10791.840629577637,0.1569582223892212,117.75,0.025307909,0.01006986,-21.943902674999997,77824,-0.22735825896237927
5,0.0,0.8211108,624,0.0322534,10936.671066522598,0.37338197231292725,121.1,0.0322534,0.009568948,-22.662936875,78848,-0.22976055919302482
13,0.0,0.71444654,637,0.03166006,11080.941664457321,-0.062476515769958496,110.1,0.03166006,0.010093387,-21.165957075,79872,-0.24529704227038404
4,0.0,0.7672293,641,0.03395118,11225.655145406723,0.23515474796295166,125.1,0.03395118,0.010076901,-22.778511375,80896,-0.23799257599502505
7,0.0,0.59283036,648,0.036943816,11373.995689868927,0.22904211282730103,136.025,0.036943816,0.010608545,-24.262128575,81920,-0.23405177521871537
12,0.0,0.90487623,660,0.034101736,11519.158648967743,0.36476290225982666,121.025,0.034101736,0.009748867,-22.35867025,82944,-0.24975010638674783
6,0.0,0.8129352,666,0.03928338,11658.917686462402,0.456155002117157,118.375,0.03928338,0.010247449,-21.202334524999998,83968,-0.24520614114161104
6,0.0,0.7015482,672,0.027941238,11799.693460702896,-0.03742635250091553,131.425,0.027941238,0.009635885,-21.443222249999998,84992,-0.22908286644376324
6,0.0,0.88020766,678,0.06509575,11944.325751781464,0.40590882301330566,141.925,0.06509575,0.01062696,-22.19698765,86016,-0.21298717329801242
7,0.0,0.7282305,685,0.036698256,12089.477495193481,0.3021826148033142,140.2,0.036698256,0.010944651,-21.083802974999998,87040,-0.21345967117614836
6,0.0,0.73976344,691,0.029411089,12233.217768907547,0.1317571997642517,144.675,0.029411089,0.010146464,-21.8096413,88064,-0.21453901723858895
6,0.0,0.6789504,697,0.029435338,12375.300813913345,0.28016525506973267,155.575,0.029435338,0.009647973,-24.147786500000002,89088,-0.20393780430913608
8,0.0,0.72168154,705,0.028614078,12519.495820999146,0.11585354804992676,157.725,0.028614078,0.010569923,-24.41608225,90112,-0.20550148224042258
6,0.0,0.80725133,711,0.031606358,12663.008606910706,0.1516554355621338,159.85,0.031606358,0.009809471,-25.3762663,91136,-0.2073996386475419
8,0.0,0.796804,719,0.035449937,12809.539738178253,0.08878231048583984,146.6,0.035449937,0.010611781,-24.979337,92160,-0.21624399136163408
9,0.0,0.7200428,728,0.037739262,12953.186597585678,0.16695493459701538,139.8,0.037739262,0.010828397,-24.671682649999997,93184,-0.22048173036677285
9,0.0,0.80682445,737,0.033714004,13095.67151761055,0.34325504302978516,130.75,0.033714004,0.009967986,-23.115029999999997,94208,-0.23042372472063538
5,0.0,0.8258913,742,0.036456957,13240.845026493073,0.19239115715026855,140.675,0.036456957,0.01386683,-24.24132735,95232,-0.22943699313893556
5,0.0,0.8994638,747,0.013863187,13382.22070980072,0.11333572864532471,144.575,0.013863187,0.011215057,-24.284664149999998,96256,-0.22491737093121814
4,0.0,0.88789064,751,0.027977819,13528.350835561752,-0.2687329053878784,152.05,0.027977819,0.009726316,-23.44882465,97280,-0.21661353502396455
7,0.0,0.77702343,758,0.035600375,13674.73351097107,0.1460058093070984,161.075,0.035600375,0.0105041275,-24.884619875,98304,-0.21225969031327363
8,0.0,0.8705794,766,0.028673828,13816.962742805481,0.09105336666107178,155.1,0.028673828,0.010388591,-24.040288775,99328,-0.2188299471249689
3,0.0,0.8914652,769,0.028418126,13960.35615825653,0.7856624275445938,173.175,0.028418126,0.0097274445,-25.671285225,100352,-0.20469440807060574
6,0.0,0.73267734,775,0.028335791,14101.796686410904,-0.07923424243927002,183.85,0.028335791,0.00950001,-27.609583725000004,101376,-0.19786064025746836
7,0.0,0.65050924,782,0.044180688,14243.588001012802,0.16975051164627075,180.5,0.044180688,0.010314288,-27.839984025,102400,-0.19587988801599895
8,0.0,0.66040033,790,0.032749712,14387.199570655823,0.17741650342941284,159.25,0.032749712,0.010022407,-26.830365125000004,103424,-0.21261179953385093
6,0.0,0.8551158,796,0.034344155,14530.835124492645,0.13994818925857544,164.975,0.034344155,0.008875876,-26.966254475,104448,-0.2134120993064917
8,0.0,0.8113596,804,0.029397305,14673.229947566986,0.07429534196853638,156.225,0.029397305,0.0099731395,-26.519979025000005,105472,-0.22699228033038596
6,0.0,0.7264419,810,0.032912653,14818.47407913208,-0.3700728416442871,148.725,0.032912653,0.010761982,-25.7612147,106496,-0.22905273355174405
5,0.0,0.92798084,815,0.03084685,14960.652132511139,0.08772295713424683,157.55,0.03084685,0.008731383,-25.2414316,107520,-0.21778435921200714
3,0.0,0.8058531,818,0.04476791,15103.860582590103,0.22162854671478271,160.5,0.04476791,0.011520189,-25.700369474999995,108544,-0.2161373248022156
8,0.0,0.79328686,826,0.037820898,15246.036736249924,0.27054113149642944,167.75,0.037820898,0.01074074,-26.38934165,109568,-0.2074527701611945
8,0.0,0.7924181,834,0.03364146,15389.057284116745,-0.21079611778259277,166.6,0.03364146,0.01049659,-26.488717700000002,110592,-0.20840691634368697
6,0.0,0.7520441,840,0.029262371,15531.810507059097,0.04733079671859741,172.825,0.029262371,0.012295542,-27.3601169,111616,-0.19848501969276272
8,0.0,0.76467156,848,0.03767314,15676.724385976791,0.23138290643692017,157.875,0.03767314,0.011199702,-25.60343775,112640,-0.210481754819663
4,0.0,0.7529978,852,0.027129851,15821.3449280262,0.3951241970062256,164.55,0.027129851,0.009819746,-25.929521550000004,113664,-0.20696441138121546
5,0.0,0.81539536,857,0.035958104,15963.362217664719,0.28564298152923584,163.5,0.035958104,0.009847617,-26.720727950000004,114688,-0.209903541108822
4,0.0,0.7255331,861,0.04667652,16106.702713251114,-0.41894686222076416,172.425,0.04667652,0.0061389445,-27.706500825,115712,-0.20358777190729133
6,0.0,0.6057319,867,0.044823132,16255.145395755768,0.1094048023223877,176.95,0.044823132,0.009096597,-28.5441015,116736,-0.2078373270063402
8,0.0,0.80019456,875,0.033974174,16400.041476488113,0.1390271782875061,169.3,0.033974174,0.010206217,-28.841852200000005,117760,-0.21858022081445494
6,0.0,0.8462139,881,0.03201474,16543.05776166916,0.32308703660964966,169.725,0.03201474,0.008727573,-28.725696700000004,118784,-0.22352918738838706
6,0.0,0.71689814,887,0.023491949,16686.586525201797,0.2716261148452759,183.625,0.023491949,0.008167437,-30.068095800000002,119808,-0.21496953784259923
7,0.0,0.6288867,894,0.040612824,16828.766224622726,0.05505925416946411,170.175,0.040612824,0.010300482,-28.558758250000004,120832,-0.23417297041188015
5,0.0,0.8539252,899,0.03430955,16973.325581789017,0.08876270055770874,165.25,0.03430955,0.010217524,-27.5110309,121856,-0.23655523737674553
5,0.0,0.750628,904,0.020794606,17116.871917247772,0.27495837211608887,164.775,0.020794606,0.004073153,-25.89564815,122880,-0.23434436593320443
5,0.0,0.8147302,909,0.029587388,17261.654046535492,0.21856939792633057,168.175,0.029587388,0.010403876,-26.891497375,123904,-0.23274266051600997
9,0.0,0.7463122,918,0.04031503,17405.975146770477,-0.019765853881835938,165.675,0.04031503,0.010442471,-25.049892749999998,124928,-0.2234455955694999
5,0.0,0.7032369,923,0.02904787,17547.098817825317,-0.2146470546722412,170.175,0.02904787,0.010496689,-24.538049475,125952,-0.21661871662169924
5,0.0,0.78540164,928,0.03132843,17694.000361442566,0.2877330183982849,172.725,0.03132843,0.012028943,-24.758934200000002,126976,-0.21292453027086666
8,0.0,0.68213046,936,0.035813462,17837.490956306458,0.26040536165237427,162.825,0.035813462,0.010544406,-25.58145545,128000,-0.22286082896438247
5,0.0,0.6428356,941,0.036129322,17982.33979654312,0.4095534682273865,169.15,0.036129322,0.011105639,-26.809300150000002,129024,-0.22285134935326437
4,0.0,0.72138965,945,0.039099198,18128.05191063881,0.31078678369522095,175.05,0.039099198,0.013505855,-27.740899475,130048,-0.21725450291738474
10,0.0,0.7097774,955,0.036641125,18269.667204856873,0.2806099057197571,168.975,0.036641125,0.009863748,-27.086169700000006,131072,-0.22374229384286962
4,0.0,0.74667054,959,0.034781557,18415.14896798134,-0.07791173458099365,170.775,0.034781557,0.011113634,-27.0987218,132096,-0.2264689113221178
6,0.0,0.7095367,965,0.03651799,18563.66754078865,0.19132596254348755,169.025,0.03651799,0.010454997,-27.394947949999995,133120,-0.22876813510959354
8,0.0,0.81556785,973,0.033347145,18708.937576532364,0.37624800205230713,161.675,0.033347145,0.010168859,-25.5726085,134144,-0.2221700972243053
8,0.0,0.7351808,981,0.030968197,18855.380281686783,-0.04916882514953613,155.05,0.030968197,0.011088423,-24.261123925,135168,-0.22080229481473848
7,0.0,0.7616569,988,0.033669442,18999.789895296097,0.17513114213943481,145.05,0.033669442,0.010548844,-23.313699775,136192,-0.23139738277700928
9,0.0,0.64615417,997,0.039951816,19144.14954853058,0.6283093988895416,131.875,0.039951816,0.011322975,-22.234758625,137216,-0.2501426315095472
6,0.0,0.64049584,1003,0.026936714,19289.52673435211,0.5245780944824219,139.3,0.026936714,0.010613038,-22.185418175000002,138240,-0.24451257237019935
7,0.0,0.7267296,1010,0.03627295,19435.669112682343,0.4265008568763733,137.05,0.03627295,0.00984006,-22.664939550000003,139264,-0.24993921610293315
8,0.0,0.6917847,1018,0.048107103,19580.108379602432,0.31244271993637085,138.75,0.048107103,0.01192726,-22.022720800000002,140288,-0.25334310235828095
4,0.0,0.67518014,1022,0.035833053,19722.932363510132,0.16653484106063843,151.175,0.035833053,0.00982061,-22.2682755,141312,-0.24227277733631994
6,0.0,0.5619718,1028,0.04814498,19866.977130889893,0.3229514956474304,158.425,0.04814498,0.009509221,-21.918269475,142336,-0.22877462864517195
5,0.0,0.6649945,1033,0.030161586,20009.303617954254,0.36400896310806274,166.375,0.030161586,0.010230202,-21.886532475000003,143360,-0.22026448056561812
8,0.0,0.54559594,1041,0.03747654,20159.300890684128,-0.0029338598251342773,154.875,0.03747654,0.011948245,-23.138529124999998,144384,-0.2273135770202753
7,0.0,0.73784965,1048,0.023415044,20304.066208839417,-0.33177340030670166,156.125,0.023415044,0.011263754,-22.1139179,145408,-0.23157070157527926
6,0.0,0.58480513,1054,0.03530688,20449.144475460052,0.21944016218185425,171.9,0.03530688,0.010711279,-23.286588974999997,146432,-0.2127048301531076
6,0.0,0.64225936,1060,0.029368559,20591.886434316635,0.22629112005233765,163.625,0.029368559,0.010896087,-23.853487074999997,147456,-0.21341789754122567
9,0.0,0.5495999,1069,0.031443384,20737.16168165207,0.12539440393447876,145.125,0.031443384,0.0096389195,-24.337683724999998,148480,-0.2363468126666684
6,0.0,0.5657062,1075,0.034734398,20880.671808958054,0.34505850076675415,146.475,0.034734398,0.009050505,-24.607642425,149504,-0.23706928749966005
7,0.0,0.61441666,1082,0.03751055,21027.418785333633,0.3856106400489807,146.55,0.03751055,0.0112742605,-24.5881025,150528,-0.23661666412455187
9,0.0,0.710952,1091,0.03763081,21176.284770965576,0.35802119970321655,139.3,0.03763081,0.010616463,-23.789228424999997,151552,-0.2424246097819581
10,0.0,0.56493545,1101,0.026299719,21320.43946146965,0.31742537021636963,124.65,0.026299719,0.0104984585,-22.1572077,152576,-0.2578374437723144
5,0.0,0.6974266,1106,0.033103865,21464.00662589073,0.12757349014282227,140.1,0.033103865,0.011606205,-23.183024,153600,-0.2428105696527732
6,0.0,0.67804027,1112,0.040622443,21609.955320596695,0.02116227149963379,142.3,0.040622443,0.010653977,-24.224095675,154624,-0.2358919946495459
5,0.0,0.61321694,1117,0.020675745,21753.42017030716,0.22428441047668457,148.525,0.020675745,0.009214651,-24.113122025,155648,-0.22469410418463234
9,0.0,0.65442014,1126,0.030496407,21895.670729875565,0.42338842153549194,137.225,0.030496407,0.010368321,-24.094553075,156672,-0.23052769448890267
5,0.0,0.6529151,1131,0.029954236,22039.16641306877,0.32455354928970337,153.975,0.029954236,0.011594954,-24.857816675000002,157696,-0.20510301280186857
3,0.0,0.71950597,1134,0.03210643,22182.403892993927,0.3770434260368347,167.7,0.03210643,0.010341013,-25.63516975,158720,-0.18977955527774779
6,0.0,0.6643858,1140,0.03068191,22327.78214263916,0.4052029848098755,181.125,0.03068191,0.009229749,-26.21848475,159744,-0.17559151320447214
3,0.0,0.58241713,1143,0.033410974,22470.54363012314,0.3660951852798462,192.225,0.033410974,0.0110728,-27.422348850000002,160768,-0.1710648080479065
5,0.0,0.6089605,1148,0.03758371,22612.140394687653,0.279205322265625,195.525,0.03758371,0.010350537,-27.572897475,161792,-0.17277473333247673
9,0.0,0.692591,1157,0.032369033,22755.743248701096,0.44380873441696167,177.75,0.032369033,0.01017689,-24.979775124999996,162816,-0.18595956589457815
5,0.0,0.6149732,1162,0.06379963,22899.75125026703,0.3473628759384155,188.8,0.06379963,0.0040387046,-25.888699599999995,163840,-0.1789618508584803
5,0.0,0.6395404,1167,0.04491927,23045.405195474625,0.6285509765148163,194.95,0.04491927,0.010381844,-25.679378975000002,164864,-0.17993814258951063
6,0.0,0.6193931,1173,0.029081408,23188.33322072029,0.36272430419921875,190.875,0.029081408,0.010585788,-26.48185075,165888,-0.18917076570650454
5,0.0,0.5485574,1178,0.030471276,23332.51553606987,0.050518572330474854,179.7,0.030471276,0.013255968,-25.57391225,166912,-0.1955372304174155
5,0.0,0.5407089,1183,0.02640489,23475.56820178032,0.3685779571533203,183.0,0.02640489,0.0115845585,-26.716510600000003,167936,-0.19560872934363085
4,0.0,0.49827945,1187,0.02630959,23618.265417814255,-0.1357882022857666,186.575,0.02630959,0.010696706,-27.555611350000003,168960,-0.1935562960226968
8,0.0,0.5868958,1195,0.039161842,23764.281264781952,0.5390327572822571,182.025,0.039161842,0.010671396,-25.974736825,169984,-0.19907601293686297
8,0.0,0.517756,1203,0.028092965,23908.838832855225,0.20873653888702393,173.275,0.028092965,0.009904303,-24.990140125,171008,-0.206068477959282
5,0.0,0.66672486,1208,0.03232724,24051.449681520462,0.2504771947860718,172.025,0.03232724,0.009163977,-26.070504125000003,172032,-0.2060487443404578
7,0.0,0.48210156,1215,0.035404712,24194.093421936035,0.18487364053726196,167.75,0.035404712,0.011788424,-25.133521350000002,173056,-0.20756978130875242
9,0.0,0.4545392,1224,0.028807452,24338.12101840973,-0.08221971988677979,145.25,0.028807452,0.0116477795,-23.348011675000002,174080,-0.23532800656516034
7,0.0,0.60425574,1231,0.03845495,24487.013383865356,0.3746969699859619,142.95,0.03845495,0.009794554,-23.356509575,175104,-0.23921312746587198
5,0.0,0.6213897,1236,0.029977197,24632.550374269485,0.22592544555664062,149.2,0.029977197,0.0098271,-24.459278875000003,176128,-0.23523351096897155
5,0.0,0.52816623,1241,0.03329492,24775.78205370903,0.24957197904586792,161.175,0.03329492,0.009903385,-25.710589575,177152,-0.2292747794317586
5,0.0,0.6161313,1246,0.026537552,24919.289627313614,-0.1143043041229248,170.3,0.026537552,0.013621895,-26.258742125000005,178176,-0.2211133726280913
7,0.0,0.6203352,1253,0.03579255,25064.190920352936,0.3481699228286743,159.95,0.03579255,0.0099490825,-25.29060815,179200,-0.22798709306569814
4,0.0,0.5410867,1257,0.035820752,25206.95067191124,0.2203763723373413,171.875,0.035820752,0.009329351,-24.997960675,180224,-0.21163695343543387
9,0.0,0.59505475,1266,0.036803965,25353.281034231186,0.572561115026474,166.075,0.036803965,0.010789978,-24.564039625,181248,-0.21170289108321771
6,0.0,0.536393,1272,0.030683808,25495.584833860397,-0.08043527603149414,168.85,0.030683808,0.009252977,-25.7576099,182272,-0.2131661580068794
6,0.0,0.61521643,1278,0.037946023,25638.174850463867,0.2976340651512146,171.175,0.037946023,0.009900952,-26.318287549999997,183296,-0.20567101742295532
5,0.0,0.52287245,1283,0.02402119,25782.138604402542,0.17968326807022095,164.325,0.02402119,0.01158594,-25.65966735,184320,-0.20764936315589302
8,0.0,0.659192,1291,0.031379346,25926.28713464737,0.5733995735645294,160.0,0.031379346,0.010664157,-25.0455258,185344,-0.2070787406921744
7,0.0,0.5503523,1298,0.030417234,26070.681771993637,0.14926087856292725,144.725,0.030417234,0.00999209,-24.395605925,186368,-0.21349055329303074
6,0.0,0.5453858,1304,0.029271198,26216.710730791092,0.39542561769485474,152.85,0.029271198,0.010416622,-25.681064525,187392,-0.2063837614669044
